"address","attributes.ByAppointmentOnly","business_id","categories","city","hours","is_open","latitude","longitude","name","postal_code","review_count","stars","state","attributes.BusinessAcceptsCreditCards","hours.Friday","hours.Monday","hours.Saturday","hours.Thursday","hours.Tuesday","hours.Wednesday","attributes.BikeParking","attributes.BusinessParking","attributes.Caters","attributes.CoatCheck","attributes.DogsAllowed","attributes.HappyHour","attributes.HasTV","attributes.OutdoorSeating","attributes.RestaurantsDelivery","attributes.RestaurantsPriceRange2","attributes.RestaurantsReservations","attributes.RestaurantsTakeOut","attributes.WheelchairAccessible","attributes.WiFi","hours.Sunday","attributes.Alcohol","attributes.GoodForKids","attributes.Ambience","attributes.DriveThru","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsTableService","attributes","attributes.NoiseLevel","attributes.GoodForMeal","attributes.BusinessAcceptsBitcoin","attributes.GoodForDancing","attributes.Music","attributes.Smoking","attributes.AcceptsInsurance","attributes.BestNights","attributes.BYOB","attributes.Corkage","attributes.BYOBCorkage","attributes.HairSpecializesIn","attributes.Open24Hours","attributes.RestaurantsCounterService","attributes.AgesAllowed","attributes.DietaryRestrictions"
"1011 W. Ridge Pike",NA,"BG33lScOPj6-tnvFmZppPQ","Cinema, Arts & Entertainment","Conshohocken",NA,1,40.0994488095,-75.3059526442,"Regal Plymouth Meeting","19428",70,3,"PA",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151 2nd Ave North",NA,"WykmE4FdA3UThjU88SfIxw","Cinema, Arts & Entertainment","Saint Petersburg",NA,1,27.7736701109,-82.6350359505,"AMC Sundial 12","33701",147,3.5,"FL",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6135 Valleydale Dr",NA,"rNUGANvIqYt7fWzlYCLTBw","Arts & Entertainment, Cinema","Riverview",NA,1,27.8921633767,-82.3458450067,"Xscape Theatres - Riverview 14","33578",95,4,"FL",NA,"9:30-23:0","9:30-23:0","9:30-23:0","9:30-23:0","9:30-23:0","9:30-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'no'","9:30-23:0","u'beer_and_wine'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201 N Main St",NA,"EJPhcvVqYi6Y1dhDQXP-bQ","Nightlife, Food, Professional Services, Desserts, Coffee & Tea, Music Venues, Used, Vintage & Consignment, Fashion, Shopping, Internet Cafes, Music Production Services, Cinema, Arts & Entertainment","Ashland City",NA,1,36.275129,-87.064182,"Sheyegirl Coffee","37015",13,5,"TN","True","9:0-17:0","0:0-0:0","9:0-18:0","9:0-18:0",NA,NA,"True","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","False","False","True","False","False","True","False","1",NA,"True","True","u'free'","12:0-18:0","u'none'","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,"True",NA,NA,"u'quiet'",NA,"False","True","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}","u'outdoor'",NA,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",NA,NA,NA,NA,NA,NA,NA,NA
"2626 N Broadway",NA,"HzgGsn_QQYwFORfopOpGhg","Videos & Video Game Rental, Adult, Lingerie, Fashion, Cinema, Arts & Entertainment, Books, Mags, Music & Video, Shopping","Saint Louis",NA,1,38.6525393,-90.1900715,"Pure Pleasure Megacenter","63102",5,3,"MO","True","6:0-0:0","6:0-0:0","6:0-0:0","6:0-0:0","6:0-0:0","6:0-0:0","False","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"6:0-0:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461 Greenwood Park S Dr",NA,"YHhFZ57hIhypEoDpk3xr1g","Arts & Entertainment, Cinema","Greenwood",NA,1,39.6295067,-86.1162293,"Greenwood Park Cinema","46142",5,4,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900 Haddonfield Berln Rd",NA,"qjSU3SL8CaGfmOL_BgrqoA","Restaurants, Cinema, American (New), Arts & Entertainment","Voorhees",NA,0,39.8468216614,-74.9792826093,"Ritz 16","08043",14,3,"NJ","True",NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","False",NA,NA,NA,"False","False","False","1","False","False",NA,NA,NA,"u'none'","True","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"u'casual'","True",NA,NA,"u'quiet'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250 S Broad St",NA,"EJ7Tp_KdGx52wSu0_7gbEQ","Colleges & Universities, Education, Cinema, Arts & Entertainment, Performing Arts","Philadelphia",NA,1,39.9476739,-75.1646358,"Merriam Theater At the University of the Arts","19102",82,2.5,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4610 Charlotte Ave",NA,"WuXa4cpuMHwKDdEvVdapMw","Cinema, Performing Arts, Arts & Entertainment","Nashville",NA,1,36.1525804,-86.8433279,"Darkhorse Theatre","37209",6,4,"TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49 Maryland St, Ste 221",NA,"qz7XHpSh_anPi0_nNYfx7A","Arts & Entertainment, Cinema","Indianapolis",NA,1,39.765315,-86.159181,"Regal UA Circle Centre","46204",89,3.5,"IN",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10337 82 Avenue NW",NA,"eptrCmycRL2FOSfwLtdUtg","Cinema, Arts & Entertainment","Edmonton",NA,1,53.5179259,-113.496373,"Princess Theatre","T6E 1Z9",33,4,"AB",NA,"17:0-1:0","17:0-1:0","12:0-1:0","17:0-1:0","17:0-1:0","17:0-1:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149 Franklin Mills Circle","False","khMfXypvr9iALwJD7zzFGA","Arts & Entertainment, Cinema","Philadelphia",NA,1,40.0838708731,-74.9609731613,"AMC Philadelphia Mills 14","19154",52,2,"PA",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'free'","11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70 W Duval Mine Rd",NA,"dqTMH_kQVnG6oncGFM9lwA","Arts & Entertainment, Cinema","Green Valley",NA,1,31.9063333,-110.9878651,"Desert Sky Cinema","85614",20,4,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27001 US Hwy 19 N",NA,"my-5aC5CRRVGQMshq23z7Q","Arts & Entertainment, Cinema","Clearwater",NA,1,28.0170595,-82.7355688,"CMX Countryside 12","33761",77,4,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1607 S Broad St",NA,"Jci_xPpsvVqhBNJ9oHA31Q","Shopping, Videos & Video Game Rental, Coffee & Tea, Cinema, Food, Books, Mags, Music & Video, Arts & Entertainment","Philadelphia",NA,0,39.930204,-75.168069,"CineMug","19148",28,4.5,"PA","True","7:0-18:0","7:0-18:0","9:0-18:0","7:0-18:0","7:0-18:0","7:0-18:0","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","False",NA,NA,NA,NA,"True",NA,"1",NA,"True","True","u'free'","9:0-18:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3648 Washington Blvd",NA,"r4tMlqfJlZ163983uksCow","Music Venues, Nightlife, Cinema, Venues & Event Spaces, Event Planning & Services, Arts & Entertainment, Museums","Saint Louis",NA,1,38.6397257,-90.2331876,"Sheldon Concert Hall & Ballroom","63108",32,4.5,"MO","True",NA,NA,NA,NA,NA,NA,"False","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,"False","True","False",NA,"2",NA,NA,NA,NA,NA,"'beer_and_wine'","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,"True",NA,NA,"u'average'",NA,NA,NA,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628 Elysian Fields Ave",NA,"hM5yhKoiAzpEXmKvu6MQJw","Arts & Entertainment, Cinema","New Orleans",NA,0,29.964283,-90.056904,"Indywood","70117",13,4.5,"LA",NA,"18:30-23:30","18:30-23:30","18:30-23:30","18:30-23:30","18:30-23:30","18:30-23:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18:30-23:30",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6950 W State St",NA,"gf0hWSKB38InSJBKioqKrQ","Arts & Entertainment, Cinema","Boise",NA,1,43.6672157,-116.2749716,"The Northgate Reel Theatre","83714",22,4.5,"ID",NA,"11:30-23:0","11:30-23:0","11:30-23:0","11:30-23:0","11:30-23:0","11:30-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'no'","11:30-23:0","u'none'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014 Delaware Ave",NA,"RDlPHVdh9lBY4UiXAnQ3Lw","Arts & Entertainment, Cinema, Performing Arts","Wilmington",NA,1,39.751702,-75.556188,"Delaware Children's Theatre","19806",8,4.5,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10455 E Washington St",NA,"2ua-RCmYshPo9uy1E9N_Sw","Arts & Entertainment, Cinema","Indianapolis",NA,0,39.77382,-85.981406,"Cinemark Movies 8 Washington Market","46229",10,4,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69th St & Ludlow",NA,"gxuR8bhZfbgYWBkQfUap5Q","Cinema, Nightlife, American (New), Venues & Event Spaces, Event Planning & Services, Arts & Entertainment, Restaurants, Performing Arts, Music Venues","Upper Darby",NA,1,39.9612710187,-75.2586841745,"Tower Theater","19082",142,3.5,"PA","True",NA,NA,NA,NA,NA,NA,"True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,"True","False",NA,"2",NA,NA,NA,NA,NA,"u'full_bar'","False","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",NA,NA,"True",NA,NA,"u'very_loud'",NA,NA,"True","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",NA,NA,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",NA,NA,NA,NA,NA,NA,NA,NA
"901 Bell Rd",NA,"QZFS0oHQeZcpbsvNskArgQ","Cinema, Arts & Entertainment","Antioch",NA,1,36.0498284813,-86.651376442,"AMC Antioch 8","32904",58,3.5,"TN",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800 N. Route 73",NA,"PhjG3wOTXC054z4H8rrMsQ","Arts & Entertainment, Cinema","Marlton",NA,1,39.9045126637,-74.9355993981,"AMC Marlton 8","08053",138,4,"NJ",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461 Greenwood Park South Drive",NA,"90P2d9MW8SIfa8kcnNGRaw","Cinema, Arts & Entertainment","Greenwood",NA,1,39.6295067,-86.1162293,"Regal Greenwood & RPX","46142",39,3.5,"IN",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252 N Main St",NA,"Nrb3X7A1VBYo8UXiV-vRzA","Nightlife, Arts & Entertainment, Cinema, Music Venues","Edwardsville",NA,1,38.8141996398,-89.9584978782,"The Wildey Theatre","62025",15,4,"IL","True","10:0-18:0",NA,"12:0-17:0","10:0-18:0","10:0-18:0","10:0-18:0","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,"True","False",NA,"2",NA,NA,NA,NA,NA,"u'beer_and_wine'","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,"True",NA,NA,"u'average'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10465 Olive Blvd.",NA,"OBaN8flPT5qcHa7RXigzJA","Cinema, Arts & Entertainment","Creve Coeur",NA,1,38.6747898,-90.4109718,"AMC Creve Coeur 12","63141",77,2.5,"MO",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8105 E. 96th Street","False","BX9oM5YI-xQ2fDtRl-CwgA","Arts & Entertainment, Cinema","Indianapolis",NA,1,39.925037,-86.0260023,"Regal UA Galaxy - Indianapolis","46256",123,3.5,"IN",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40 N 2nd St",NA,"bmrEQ_4nzXc72zAFotrLYA","Performing Arts, Cinema, Arts & Entertainment","Philadelphia",NA,1,39.9512167,-75.1439121,"Arden Theatre Company","19106",64,4.5,"PA",NA,"10:0-23:0","10:0-18:0","10:0-23:0","10:0-23:0","10:0-22:0","10:0-21:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125 S 2nd St","False","vy0IlrE3Zl44HwxbsZhh2g","Cinema, Arts & Entertainment","Philadelphia",NA,1,39.9476017,-75.1444627,"Ritz East","19106",111,4.5,"PA",NA,"13:0-22:0","13:0-22:0","13:0-22:0","13:0-22:0","13:0-22:0","13:0-22:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13:0-22:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4634 E 10th St",NA,"GURJSkWomFFF5hFXPyqyzw","Arts & Entertainment, Performing Arts, Cinema","Indianapolis",NA,0,39.7817628,-86.0908457,"Emerson Theater","46201",14,2.5,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2465 S Broad St",NA,"5iyTzgKeNSdJV8wYCNwbdQ","Cinema, Arts & Entertainment","Hamilton",NA,0,40.192223,-74.7201009,"Destiny Cinemas 12","08610",6,2.5,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403 Middletown Blvd.",NA,"zM0ifefqIVZfXdosj-ltPQ","Adult Education, Cinema, Education, Arts & Entertainment","Langhorne",NA,1,40.185395,-74.883423,"Regal UA Oxford Valley","19047",74,3.5,"PA",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212 N Kingshighway Blvd","False","-kqjc8DxxRac4cz2qTKCLw","Cinema, Arts & Entertainment","Saint Louis",NA,1,38.643836,-90.263554,"Chase Park Plaza Cinemas","63108",136,4,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'free'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721 Myatt Dr",NA,"X2ettoL8sywpeq_3ppGxSA","Arts & Entertainment, Cinema","Madison",NA,1,36.2952710867,-86.6951552905,"AMC Classic Madison 10","37115",34,2.5,"TN",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9510 US Hwy 19",NA,"WJyK4-hZhRc99rr214ARAg","Arts & Entertainment, Cinema","Port Richey",NA,1,28.2954477,-82.7069161,"Cinema 6","34668",29,3.5,"FL",NA,"12:30-23:0","12:30-23:0","12:30-23:0","12:30-23:0","12:30-23:0","12:30-23:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12:30-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333 Canal St, Fl 3",NA,"FPvwaSdVk5dN0Ya_FB9qKg","Cinema, Arts & Entertainment","New Orleans",NA,0,29.9520078,-90.0652761,"Regal Cinebarre Canal Place","70130",408,3,"LA",NA,"9:0-23:0","0:0-0:0","9:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9:0-23:0",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2208 Millers Rd",NA,"Otjehxu4n98_LhLcRe0EbA","Comedy Clubs, Cinema, Performing Arts, Music Venues, Arts & Entertainment, Nightlife","Wilmington",NA,1,39.8082035,-75.4827623,"The Candlelight Theatre","19810",18,4.5,"DE","True","10:0-17:0","10:0-17:0","10:0-16:0","10:0-17:0","10:0-17:0","10:0-17:0","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,"True","False",NA,"2",NA,NA,NA,NA,NA,"u'full_bar'","True","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",NA,NA,"True",NA,NA,"u'average'",NA,NA,NA,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",NA,NA,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}",NA,NA,NA,NA,NA,NA,NA,NA
"7401 N La Cholla Blvd, Ste 144",NA,"nayQkd06InyPDfX12IjjWw","Cinema, Arts & Entertainment","Tucson",NA,1,32.3416302,-111.0151171,"AMC Foothills 15","85741",153,3,"AZ",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210 Westshore Plaza","False","Hvd8H_ys3ZiKO4DTiH2RJA","Arts & Entertainment, Cinema","Tampa",NA,1,27.9467235969,-82.526791509,"AMC West Shore 14","33609",183,3,"FL",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50 Ludwig Dr",NA,"Kg2U7tQ1n5fLc0MRvcfhkw","Arts & Entertainment, Cinema","Fairview Heights",NA,0,38.600364,-89.9896808,"Marcus St Clair Value Cinema","62208",22,3.5,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023 Sansom St",NA,"s59Ye_3f6LLRX46GqDy3IQ","Arts & Entertainment, Cinema","Philadelphia",NA,0,39.9515267,-75.1745636,"PFS Roxy Theater","19103",59,3.5,"PA",NA,"12:0-23:30","14:0-23:30","12:0-23:30","14:0-23:30","14:0-23:30","14:0-23:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700 W Main St",NA,"h4Xe1hMqUtJbh5fjwt0PhA","Cinema, Arts & Entertainment","Boise",NA,1,43.615324,-116.202371,"Egyptian Theatre","83702",32,4,"ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8204 Hwy 100",NA,"o0XILIZR6cdoBjJALeOJaA","American (New), Dinner Theater, Performing Arts, Restaurants, Arts & Entertainment, Cinema","Nashville",NA,0,36.043517,-86.960752,"Chaffin's Barn Dinner Theatre","37221",46,3.5,"TN","True","10:0-20:0",NA,"10:0-20:0","10:0-20:0","10:0-17:0","10:0-17:0","False","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","False",NA,"False",NA,"False","False","False","3","True","False","True","u'no'","10:0-14:0","u'full_bar'","True","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",NA,"u'casual'","True","True",NA,"u'average'","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,"False","False",NA,NA,NA,NA,NA,NA
"800 Rivergate Pkwy",NA,"2APlguNoztlRY2iJqBwZQg","Cinema, Arts & Entertainment","Goodlettsville",NA,0,36.305461,-86.6975358,"Rivergate 8","37072",7,2.5,"TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4325 S Meridian St",NA,"ab8dWspQo-6eVB1X_Wh_8Q","Cinema, Arts & Entertainment","Indianapolis",NA,0,39.70215,-86.1581963,"AMC Indianapolis 17","46217",69,4,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
